delito,x,y,porcentaje
4,-103.3844318,20.60568296,80
3,-103.3240457,20.70796113,60
1,-103.2799754,20.61659869,20
1,-103.2799754,20.61659869,20
3,-103.3485425,20.56271595,60
4,-103.3523906,20.67499246,80
2,-103.4557989,20.62514312,40
3,-103.3032512,20.6166301,60
3,-103.34049,20.70548349,60
4,-103.4269082,20.64368105,80
1,-103.3312666,20.65598913,20
3,-103.3449043,20.70334936,60
1,-103.3734666,20.66467548,20
2,-103.3250777,20.67787086,40
2,-103.3333846,20.69868693,40
1,-103.4444023,20.57794266,20
4,-103.3693593,20.66122529,80
1,-103.4120036,20.70745564,20
4,-103.4058995,20.64660481,80
2,-103.3761249,20.6843744,40
2,-103.2570738,20.60899834,40
5,-103.4270162,20.68818069,100
5,-103.3418315,20.55534392,100
3,-103.3149176,20.66906173,60
5,-103.3389313,20.5927404,100
3,-103.2705,20.68036593,60
4,-103.1905654,20.57119962,80
4,-103.2883121,20.69041585,80
1,-103.3429445,20.69646941,20
2,-103.4398343,20.73667122,40
5,-103.3412847,20.58643106,100
3,-103.5397881,20.4819072,60
3,-103.3289182,20.59977146,60
1,-103.432233,20.65597887,20
3,-103.3015326,20.68756184,60
1,-103.417981,20.67819739,20
1,-103.3402809,20.67832993,20
1,-103.3524257,20.67722291,20
4,-103.3825678,20.63921059,80
3,-103.4144668,20.73599639,60
1,-103.447307,20.47089757,20
4,-103.3359735,20.69563656,80
4,-103.2942477,20.6178422,80
4,-103.3800132,20.66682116,80
3,-103.4074649,20.66860649,60
2,-103.3873897,20.70374381,40
4,-103.359997,20.5424743,80
3,-103.4184516,20.7392401,60
4,-103.3872087,20.64711697,80
4,-103.3215924,20.59066736,80
2,-103.4262223,20.51333844,40
1,-103.3756009,20.51218119,20
4,-103.3666465,20.73561227,80
4,-103.3194852,20.71637239,80
3,-103.3717595,20.67919385,60
3,-103.5311807,20.7292318,60
3,-103.3966164,20.72419894,60
4,-103.3344441,20.62965048,80
2,-103.3522776,20.69547154,40
4,-103.3210167,20.62395787,80
4,-103.3473101,20.67518176,80
3,-103.3495446,20.67208213,60
5,-103.4926053,20.80097907,100
3,-103.2965328,20.69040492,60
2,-103.3515934,20.66807194,40
4,-103.3589245,20.62103345,80
3,-103.3317184,20.68203638,60
2,-103.2261813,20.6504425,40
1,-103.4286519,20.68035461,20
